Witnesses (0<=n<199),Number of lies
(1,1),53
(0,0),42
(0,1),42
(0,2),42
(0,3),42
(0,4),42
(0,5),42
(0,6),42
(0,7),42
(0,8),42
(0,9),42
(0,10),42
(0,11),42
(0,12),42
(0,13),42
(0,14),42
(0,15),42
(0,16),42
(0,17),42
(0,18),42
(0,19),42
(0,20),42
(0,21),42
(0,22),42
(0,23),42
(0,24),42
(0,25),42
(0,26),42
(0,27),42
(0,28),42
(0,29),42
(0,30),42
(0,31),42
(0,32),42
(0,33),42
(0,34),42
(0,35),42
(0,36),42
(0,37),42
(0,38),42
(0,39),42
(0,40),42
(0,41),42
(0,42),42
(0,43),42
(0,44),42
(0,45),42
(0,46),42
(0,47),42
(0,48),42
(0,49),42
(0,50),42
(0,51),42
(0,52),42
(0,53),42
(0,54),42
(0,55),42
(0,56),42
(0,57),42
(0,58),42
(0,59),42
(0,60),42
(0,61),42
(0,62),42
(0,63),42
(0,64),42
(0,65),42
(0,66),42
(0,67),42
(0,68),42
(0,69),42
(0,70),42
(0,71),42
(0,72),42
(0,73),42
(0,74),42
(0,75),42
(0,76),42
(0,77),42
(0,78),42
(0,79),42
(0,80),42
(0,81),42
(0,82),42
(0,83),42
(0,84),42
(0,85),42
(0,86),42
(0,87),42
(0,88),42
(0,89),42
(0,90),42
(0,91),42
(0,92),42
(0,93),42
(0,94),42
(0,95),42
(0,96),42
(0,97),42
(0,98),42
(0,99),42
(0,100),42
(0,101),42
(0,102),42
(0,103),42
(0,104),42
(0,105),42
(0,106),42
(0,107),42
(0,108),42
(0,109),42
(0,110),42
(0,111),42
(0,112),42
(0,113),42
(0,114),42
(0,115),42
(0,116),42
(0,117),42
(0,118),42
(0,119),42
(0,120),42
(0,121),42
(0,122),42
(0,123),42
(0,124),42
(0,125),42
(0,126),42
(0,127),42
(0,128),42
(0,129),42
(0,130),42
(0,131),42
(0,132),42
(0,133),42
(0,134),42
(0,135),42
(0,136),42
(0,137),42
(0,138),42
(0,139),42
(0,140),42
(0,141),42
(0,142),42
(0,143),42
(0,144),42
(0,145),42
(0,146),42
(0,147),42
(0,148),42
(0,149),42
(0,150),42
(0,151),42
(0,152),42
(0,153),42
(0,154),42
(0,155),42
(0,156),42
(0,157),42
(0,158),42
(0,159),42
(0,160),42
(0,161),42
(0,162),42
(0,163),42
(0,164),42
(0,165),42
(0,166),42
(0,167),42
(0,168),42
(0,169),42
(0,170),42
(0,171),42
(0,172),42
(0,173),42
(0,174),42
(0,175),42
(0,176),42
(0,177),42
(0,178),42
(0,179),42
(0,180),42
(0,181),42
(0,182),42
(0,183),42
(0,184),42
(0,185),42
(0,186),42
(0,187),42
(0,188),42
(0,189),42
(0,190),42
(0,191),42
(0,192),42
(0,193),42
(0,194),42
(0,195),42
(0,196),42
(0,197),42
(0,198),42
(1,0),42
(2,0),42
(3,0),42
(4,0),42
(5,0),42
(6,0),42
(7,0),42
(8,0),42
(9,0),42
(10,0),42
(11,0),42
(12,0),42
(13,0),42
(14,0),42
(15,0),42
(16,0),42
(17,0),42
(18,0),42
(19,0),42
(20,0),42
(21,0),42
(22,0),42
(23,0),42
(24,0),42
(25,0),42
(26,0),42
(27,0),42
(28,0),42
(29,0),42
(30,0),42
(31,0),42
(32,0),42
(33,0),42
(34,0),42
(35,0),42
(36,0),42
(37,0),42
(38,0),42
(39,0),42
(40,0),42
(41,0),42
(42,0),42
(43,0),42
(44,0),42
(45,0),42
(46,0),42
(47,0),42
(48,0),42
(49,0),42
(50,0),42
(51,0),42
(52,0),42
(53,0),42
(54,0),42
(55,0),42
(56,0),42
(57,0),42
(58,0),42
(59,0),42
(60,0),42
(61,0),42
(62,0),42
(63,0),42
(64,0),42
(65,0),42
(66,0),42
(67,0),42
(68,0),42
(69,0),42
(70,0),42
(71,0),42
(72,0),42
(73,0),42
(74,0),42
(75,0),42
(76,0),42
(77,0),42
(78,0),42
(79,0),42
(80,0),42
(81,0),42
(82,0),42
(83,0),42
(84,0),42
(85,0),42
(86,0),42
(87,0),42
(88,0),42
(89,0),42
(90,0),42
(91,0),42
(92,0),42
(93,0),42
(94,0),42
(95,0),42
(96,0),42
(97,0),42
(98,0),42
(99,0),42
(100,0),42
(101,0),42
(102,0),42
(103,0),42
(104,0),42
(105,0),42
(106,0),42
(107,0),42
(108,0),42
(109,0),42
(110,0),42
(111,0),42
(112,0),42
(113,0),42
(114,0),42
(115,0),42
(116,0),42
(117,0),42
(118,0),42
(119,0),42
(120,0),42
(121,0),42
(122,0),42
(123,0),42
(124,0),42
(125,0),42
(126,0),42
(127,0),42
(128,0),42
(129,0),42
(130,0),42
(131,0),42
(132,0),42
(133,0),42
(134,0),42
(135,0),42
(136,0),42
(137,0),42
(138,0),42
(139,0),42
(140,0),42
(141,0),42
(142,0),42
(143,0),42
(144,0),42
(145,0),42
(146,0),42
(147,0),42
(148,0),42
(149,0),42
(150,0),42
(151,0),42
(152,0),42
(153,0),42
(154,0),42
(155,0),42
(156,0),42
(157,0),42
(158,0),42
(159,0),42
(160,0),42
(161,0),42
(162,0),42
(163,0),42
(164,0),42
(165,0),42
(166,0),42
(167,0),42
(168,0),42
(169,0),42
(170,0),42
(171,0),42
(172,0),42
(173,0),42
(174,0),42
(175,0),42
(176,0),42
(177,0),42
(178,0),42
(179,0),42
(180,0),42
(181,0),42
(182,0),42
(183,0),42
(184,0),42
(185,0),42
(186,0),42
(187,0),42
(188,0),42
(189,0),42
(190,0),42
(191,0),42
(192,0),42
(193,0),42
(194,0),42
(195,0),42
(196,0),42
(197,0),42
(198,0),42
(1,166),7
(1,188),7
(166,1),7
(166,166),7
(188,1),7
(188,188),7
(1,68),6
(1,106),6
(1,118),6
(1,124),6
(1,134),6
(1,146),6
(1,148),6
(1,164),6
(1,194),6
(68,1),6
(68,68),6
(104,106),6
(106,1),6
(106,104),6
(106,106),6
(118,1),6
(118,118),6
(124,1),6
(124,124),6
(134,1),6
(134,134),6
(134,136),6
(136,134),6
(146,1),6
(146,146),6
(148,1),6
(148,148),6
(164,1),6
(164,164),6
(164,166),6
(166,164),6
(188,190),6
(190,188),6
(194,1),6
(194,194),6
(1,74),5
(1,76),5
(1,82),5
(1,94),5
(1,104),5
(1,116),5
(1,122),5
(1,136),5
(1,151),5
(1,157),5
(1,170),5
(1,172),5
(1,176),5
(1,190),5
(1,191),5
(1,197),5
(74,1),5
(74,74),5
(74,76),5
(74,149),5
(74,151),5
(76,1),5
(76,74),5
(76,76),5
(76,149),5
(76,151),5
(82,1),5
(82,82),5
(82,107),5
(94,1),5
(94,94),5
(104,1),5
(104,104),5
(107,82),5
(116,1),5
(116,116),5
(122,1),5
(122,122),5
(136,1),5
(136,136),5
(146,148),5
(148,146),5
(149,74),5
(149,76),5
(149,151),5
(151,1),5
(151,74),5
(151,76),5
(151,149),5
(151,151),5
(157,1),5
(157,157),5
(170,1),5
(170,170),5
(170,172),5
(172,1),5
(172,170),5
(172,172),5
(174,176),5
(176,1),5
(176,174),5
